Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
ETC,MMM,322.836984491474,57.02085707783512,0
ETC,ABT,236.94566267940044,29.9633438741722,0
ETC,ABBV,248.56706547229396,32.301856681414364,0
ETC,ABMD,292.06496615427733,56.32983719255977,0
ETC,ACN,181.2933770431335,28.92131312802483,0
ETC,ATVI,1208.656648234084,36.424628023800004,0
ETC,ADBE,798.5808600344814,25.475162889176474,0
ETC,AMD,13400.881647097129,61.03111207124339,0
ETC,AAP,259.06992845638354,49.925162067741695,0
ETC,AES,182.11347145482284,30.6773053395529,0
ETC,AFL,187.8094704602233,31.934171070201835,0
ETC,A,228.83232638900478,31.8415911012323,0
ETC,APD,741.6159293974823,28.23779682908711,0
ETC,AKAM,2083.6671469658545,31.604339996443212,0
ETC,ALK,211.56405807962147,40.04025428707583,0
ETC,ALB,194.87454923039365,31.545162639255146,0
ETC,ARE,217.76231520483736,28.94977538454766,0
ETC,ALGN,248.0808529880287,47.964502023539765,0
ETC,ALLE,325.75230003096567,28.486636643317865,0
ETC,LNT,523.8885646405455,28.68204514302701,0
ETC,ALL,177.53307544850824,27.564205201000895,0
ETC,GOOGL,221.9215412888397,31.791741757929458,0
ETC,GOOG,220.82183804534537,31.622734009457524,0
ETC,MO,247.12265338623223,40.96529583021426,0
ETC,AMZN,206.74844509377587,30.32733574517973,0
ETC,AMCR,191.477302114609,32.24653876381721,0
ETC,AEE,223.71016975712544,26.718049059522336,0
ETC,AAL,241.46092566869396,54.63510109042712,0
ETC,AEP,241.1766957837449,26.593919430122398,0
ETC,AXP,159.7144487130836,26.831269212742846,0
ETC,AIG,196.71108796711206,36.95687328651037,0
ETC,AMT,1701.8988828924098,29.35285642381239,0
ETC,AWK,2387.8499788706017,29.19820895906895,0
ETC,AMP,177.55297884357094,29.751247543820188,0
ETC,ABC,29743381.311036117,30.96313826742641,0
ETC,AME,189.01380953189283,31.186643909784422,0
ETC,AMGN,2403.6953688537633,39.6821821970032,0
ETC,APH,248.12265756567697,39.31637124575692,0
ETC,ADI,213.75114450858595,33.82121253754897,0
ETC,ANSS,1654.115142816931,33.70700127052227,0
ETC,ANTM,183.7884229825102,29.500626303805333,0
ETC,AON,182.32587924892906,25.803253252008044,0
ETC,AOS,331.9084743010724,52.41099053966155,0
ETC,APA,247.1189388282546,73.86861297451901,0
ETC,AAPL,741.191100169615,38.78699971985624,0
ETC,AMAT,1147.7703962717678,38.929958937284006,0
ETC,APTV,227.12107380264513,43.208992166419264,0
ETC,ADM,202.6898132129392,32.790542911115836,0
ETC,ANET,318.73849445822594,63.180759866603424,0
ETC,AJG,253.47584025339287,26.401122306821886,0
ETC,AIZ,1787.281267786042,45.41175331998403,0
ETC,T,512.0252737966053,34.803396730543945,0
ETC,ATO,196.91042513013508,28.384470301892037,0
ETC,ADSK,180.59148437145393,28.53356062027739,0
ETC,ADP,174.08056904503331,29.47026714472607,0
ETC,AZO,217.8957531837534,34.77336567061499,0
ETC,AVB,173.68941140143033,29.06481835347542,0
ETC,AVY,192.93102176242485,31.463708912332034,0
ETC,BKR,241.75439833035898,49.12941733845534,0
ETC,BLL,595.8312914258819,29.248723196953712,0
ETC,BAC,208.40937566960838,34.46357030653271,0
ETC,BBWI,201.41584085180915,39.33389499889347,0
ETC,BAX,1182.4405070699574,28.797581071124636,0
ETC,BDX,392.4881854732794,30.788801839751855,0
ETC,BBY,194.73421639883864,30.800953613438935,0
ETC,BIO,11696.547967511831,36.05479857955525,0
ETC,TECH,223.94218163871724,31.226712028254752,0
ETC,BIIB,4075.0662352468826,37.85660728677572,0
ETC,BLK,169.873138730478,28.753041530129266,0
ETC,BK,237.6981844547491,40.040032429452936,0
ETC,BA,222.9420931975545,47.07866282629158,0
ETC,BKNG,219.0230758228136,36.3025218302819,0
ETC,BWA,270.71850026740117,51.91108552403428,0
ETC,BXP,181.93766465524624,30.461397919292622,0
ETC,BSX,213.25563257150236,31.566970918090288,0
ETC,BMY,7445.470583771548,38.52785753395297,0
ETC,AVGO,219.3187424628185,37.48760903445515,0
ETC,BR,185.5623083430471,29.913703172646358,0
ETC,BRO,222494.68851939848,29.33380292509323,0
ETC,CHRW,285.0614060215017,43.07955374701048,0
ETC,CDNS,154.81949015989755,27.83229077129258,0
ETC,CZR,185.70654978221717,40.645997283784624,0
ETC,CPB,1736.5885845729124,38.256922475000465,0
ETC,COF,186.61124433151713,32.34480237607487,0
ETC,CAH,613.4506360553396,30.973773783174835,0
ETC,KMX,189.9004273858093,32.123257028657775,0
ETC,CCL,229.22441951813286,56.21502673253882,0
ETC,CTLT,350.15267249290633,28.22308846422699,0
ETC,CAT,246.31795970964595,39.046071526683484,0
ETC,CBOE,201.5299207980413,29.85037041414777,0
ETC,CBRE,174.68322720934964,29.266731279285914,0
ETC,CDW,298.8657063439706,36.64936503622467,0
ETC,CE,244.06327352438478,42.51511650773258,0
ETC,CNC,335.4054094086754,29.310282253107417,0
ETC,CNP,221.46821263363609,41.82781104379803,0
ETC,CDAY,186.95074126862391,25.77749455872146,0
ETC,CERN,209.08746717878358,26.123409900687832,0
ETC,CF,230.2120263242307,41.33408727828443,0
ETC,CRL,153.61451127495812,26.737186337043198,0
ETC,SCHW,228.68238680126723,37.17221305605867,0
ETC,CHTR,inf,36.22371424292875,0
ETC,CVX,215.32959146665985,38.26444517025241,0
ETC,CMG,186.7426774006692,30.245660589211216,0
ETC,CB,178.4482384021042,29.141540211948247,0
ETC,CHD,162.53545094021757,29.440485995143167,0
ETC,CI,451.72633327193677,32.54336112116167,0
ETC,CINF,369.93643784246564,35.2784028031024,0
ETC,CTAS,255.46745483437988,31.47309135890628,0
ETC,CSCO,241.87230917130248,40.22936726825489,0
ETC,C,197.18269294727145,33.934611085479574,0
ETC,CFG,204.33994217935143,36.86989202422722,0
ETC,CTXS,915.9832062103359,36.04616204362939,0
ETC,CLX,988.2410604395577,31.131843060404535,0
ETC,CME,304.0256130287457,30.30699014153687,0
ETC,CMS,923.4558382221227,29.6324295027771,0
ETC,KO,194.83844563584142,27.521760091657562,0
ETC,CTSH,247.63369061469538,41.94270568854528,0
ETC,CL,118.58577201126016,27.084387058029158,0
